# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   
146           	smoothSolver	2.672390e-04	2.219300e-05	2	2.672180e-04	2.218700e-05	2	3.205380e-04	2.758640e-05	2	false
147           	smoothSolver	2.611020e-04	2.170270e-05	2	2.610540e-04	2.169470e-05	2	3.192940e-04	2.746900e-05	2	false
148           	smoothSolver	2.552760e-04	2.119160e-05	2	2.552700e-04	2.118640e-05	2	3.180670e-04	2.735330e-05	2	false
149           	smoothSolver	2.495860e-04	2.068870e-05	2	2.495300e-04	2.067930e-05	2	3.168650e-04	2.724010e-05	2	false
150           	smoothSolver	2.440110e-04	2.019880e-05	2	2.439730e-04	2.019090e-05	2	3.157040e-04	2.713060e-05	2	false
151           	smoothSolver	2.384540e-04	1.971600e-05	2	2.384220e-04	1.971020e-05	2	3.145730e-04	2.702400e-05	2	false
152           	smoothSolver	2.328320e-04	1.923570e-05	2	2.327980e-04	1.922940e-05	2	3.134560e-04	2.691890e-05	2	false
153           	smoothSolver	2.271670e-04	1.876200e-05	2	2.271480e-04	1.875700e-05	2	3.123620e-04	2.681600e-05	2	false
154           	smoothSolver	2.215680e-04	1.830430e-05	2	2.215830e-04	1.830190e-05	2	3.112900e-04	2.671520e-05	2	false
155           	smoothSolver	2.161880e-04	1.786830e-05	2	2.161960e-04	1.786510e-05	2	3.102400e-04	2.661660e-05	2	false
156           	smoothSolver	2.110800e-04	1.745750e-05	2	2.110830e-04	1.745320e-05	2	3.092230e-04	2.652100e-05	2	false
157           	smoothSolver	2.061560e-04	1.707270e-05	2	2.060980e-04	1.706380e-05	2	3.082380e-04	2.642830e-05	2	false
158           	smoothSolver	2.011950e-04	1.669470e-05	2	2.011350e-04	1.668640e-05	2	3.072550e-04	2.633620e-05	2	false
159           	smoothSolver	1.964660e-04	1.631730e-05	2	1.964520e-04	1.631220e-05	2	3.062930e-04	2.624610e-05	2	false
160           	smoothSolver	1.920780e-04	1.595070e-05	2	1.920820e-04	1.594720e-05	2	3.053490e-04	2.615770e-05	2	false
161           	smoothSolver	1.878760e-04	1.558910e-05	2	1.879060e-04	1.558910e-05	2	3.044300e-04	2.607160e-05	2	false
162           	smoothSolver	1.838710e-04	1.523740e-05	2	1.838400e-04	1.523250e-05	2	3.035360e-04	2.598790e-05	2	false
163           	smoothSolver	1.799060e-04	1.489130e-05	2	1.798820e-04	1.488640e-05	2	3.026590e-04	2.590580e-05	2	false
164           	smoothSolver	1.759100e-04	1.454720e-05	2	1.758620e-04	1.454000e-05	2	3.018040e-04	2.582570e-05	2	false
165           	smoothSolver	1.718440e-04	1.420380e-05	2	1.718170e-04	1.419890e-05	2	3.009460e-04	2.574580e-05	2	false
166           	smoothSolver	1.677980e-04	1.386780e-05	2	1.677640e-04	1.386260e-05	2	3.001090e-04	2.566780e-05	2	false
167           	smoothSolver	1.638240e-04	1.354040e-05	2	1.638190e-04	1.353700e-05	2	2.992990e-04	2.559210e-05	2	false
168           	smoothSolver	1.600860e-04	1.323610e-05	2	1.600600e-04	1.323110e-05	2	2.985180e-04	2.551910e-05	2	false
169           	smoothSolver	1.562820e-04	1.293790e-05	2	1.562900e-04	1.293610e-05	2	2.977310e-04	2.544590e-05	2	false
170           	smoothSolver	1.525450e-04	1.264680e-05	2	1.525070e-04	1.264130e-05	2	2.969620e-04	2.537440e-05	2	false
171           	smoothSolver	1.489830e-04	1.235370e-05	2	1.489820e-04	1.235100e-05	2	2.962180e-04	2.530510e-05	2	false
172           	smoothSolver	1.455730e-04	1.207150e-05	2	1.455670e-04	1.206840e-05	2	2.954860e-04	2.523690e-05	2	false
173           	smoothSolver	1.423450e-04	1.180540e-05	2	1.423350e-04	1.180200e-05	2	2.947460e-04	2.516850e-05	2	false
174           	smoothSolver	1.392940e-04	1.155480e-05	2	1.392600e-04	1.154960e-05	2	2.940410e-04	2.510290e-05	2	false
175           	smoothSolver	1.363640e-04	1.130920e-05	2	1.363470e-04	1.130580e-05	2	2.933510e-04	2.503880e-05	2	false
176           	smoothSolver	1.334570e-04	1.106170e-05	2	1.334400e-04	1.105780e-05	2	2.926790e-04	2.497640e-05	2	false
177           	smoothSolver	1.305550e-04	1.081710e-05	2	1.305980e-04	1.081840e-05	2	2.920060e-04	2.491410e-05	2	false
178           	smoothSolver	1.277180e-04	1.058090e-05	2	1.276890e-04	1.057640e-05	2	2.913320e-04	2.485200e-05	2	false
179           	smoothSolver	1.249800e-04	1.035250e-05	2	1.249650e-04	1.034970e-05	2	2.906990e-04	2.479330e-05	2	false
180           	smoothSolver	1.222620e-04	1.012870e-05	2	1.222500e-04	1.012540e-05	2	2.900640e-04	2.473460e-05	2	false
181           	smoothSolver	1.195120e-04	9.907140e-06	2	1.195020e-04	9.904220e-06	2	2.894380e-04	2.467680e-05	2	false
182           	smoothSolver	1.168490e-04	9.684120e-06	2	1.168560e-04	9.683290e-06	2	2.888280e-04	2.462050e-05	2	false
183           	smoothSolver	1.142820e-04	9.464550e-06	2	1.142750e-04	9.462230e-06	2	2.882260e-04	2.456500e-05	2	false
184           	smoothSolver	1.117420e-04	9.250030e-06	2	1.117340e-04	9.247550e-06	2	2.876270e-04	2.450990e-05	2	false
185           	smoothSolver	1.092660e-04	9.043460e-06	2	1.092340e-04	9.039560e-06	2	2.870520e-04	2.445690e-05	2	false
186           	smoothSolver	1.068650e-04	8.846960e-06	2	1.068790e-04	8.847070e-06	2	2.864940e-04	2.440540e-05	2	false
187           	smoothSolver	1.045900e-04	8.665670e-06	2	1.046110e-04	8.666070e-06	2	2.859280e-04	2.435340e-05	2	false
188           	smoothSolver	1.023580e-04	8.489780e-06	2	1.023750e-04	8.490440e-06	2	2.853580e-04	2.430140e-05	2	false
189           	smoothSolver	1.002560e-04	8.321380e-06	2	1.002090e-04	8.315380e-06	2	2.848090e-04	2.425100e-05	2	false
190           	smoothSolver	9.823420e-05	8.154380e-06	2	9.819090e-05	8.148510e-06	2	2.842840e-04	2.420270e-05	2	false
191           	smoothSolver	9.630100e-05	7.990690e-06	2	9.628560e-05	7.988190e-06	2	2.837740e-04	2.415580e-05	2	false
192           	smoothSolver	9.435640e-05	7.830760e-06	2	9.441610e-05	7.834990e-06	2	2.832520e-04	2.410810e-05	2	false
193           	smoothSolver	9.251400e-05	7.677850e-06	2	9.252200e-05	7.677030e-06	2	2.827280e-04	2.406040e-05	2	false
194           	smoothSolver	9.069060e-05	7.517700e-06	2	9.068790e-05	7.516110e-06	2	2.822210e-04	2.401410e-05	2	false
195           	smoothSolver	8.886210e-05	7.356400e-06	2	8.881660e-05	7.351200e-06	2	2.817270e-04	2.396900e-05	2	false
196           	smoothSolver	8.703630e-05	7.197480e-06	2	8.697360e-05	7.191020e-06	2	2.812520e-04	2.392550e-05	2	false
197           	smoothSolver	8.527100e-05	7.045590e-06	2	8.526200e-05	7.043620e-06	2	2.807730e-04	2.388190e-05	2	false
198           	smoothSolver	8.349010e-05	6.895100e-06	2	8.353070e-05	6.897850e-06	2	2.803030e-04	2.383910e-05	2	false
199           	smoothSolver	8.173390e-05	6.750780e-06	2	8.178140e-05	6.754100e-06	2	2.798300e-04	2.379610e-05	2	false
200           	smoothSolver	8.002930e-05	6.615400e-06	2	8.007250e-05	6.617750e-06	2	2.793700e-04	2.375430e-05	2	false
